"Identificador de URL";Nombre;Categorías;"Nombre de propiedad 1";"Valor de propiedad 1";"Nombre de propiedad 2";"Valor de propiedad 2";"Nombre de propiedad 3";"Valor de propiedad 3";Precio;"Precio promocional";"Peso (kg)";"Alto (cm)";"Ancho (cm)";"Profundidad (cm)";Stock;SKU;"Código de barras";"Mostrar en tienda";"Envío sin cargo";Descripción;Tags;"Título para SEO";"Descripción para SEO";Marca;"Producto Físico";"MPN (Número de pieza del fabricante)";Sexo;"Rango de edad";Costo;Visibilidad
acuvue-2-2-cajas-miopia-e-hipermetropia-promo-2da-caja-con-70-de-descuento-ct254;"Acuvue 2 (2 cajas) - miopía e hipermetropía - PROMO 2da CAJA CON 70% DE DESCUENTO";"Todos los productos > Lentes de Contacto, Todos los productos > Promociones";;;;;;;0.00;;0.30;80.00;10.00;10.00;;;;SI;NO;"<p data-start=""214"" data-end=""559"">Reconocidas por su <strong data-start=""233"" data-end=""283"">comodidad estable y su dise&ntilde;o de borde delgado</strong>, las lentes <strong data-start=""296"" data-end=""308"">Acuvue 2</strong> ofrecen una experiencia suave y natural durante todo el d&iacute;a. Su material respirable ayuda a mantener una sensaci&oacute;n fresca en los ojos y proporciona una visi&oacute;n clara y consistente, ideal para quienes buscan un lente probado, confiable y f&aacute;cil de usar.</p>
<p data-start=""561"" data-end=""628""><strong data-start=""561"" data-end=""628"">La promo incluye 2 cajas, con 6 lentes de contacto en cada una.</strong></p>
<p>&nbsp;</p>
<p data-start=""630"" data-end=""989"" data-is-last-node="""" data-is-only-node="""">? <strong data-start=""633"" data-end=""665"">Por favor, lee con atenci&oacute;n:</strong><br data-start=""665"" data-end=""668"" />Para garantizar que recibas el producto correcto, confirm&aacute; que <strong data-start=""731"" data-end=""765"">ya utiliz&aacute;s lentes de contacto</strong> y que la <strong data-start=""775"" data-end=""856"">correcci&oacute;n seleccionada coincide exactamente con la receta de tu contact&oacute;logo</strong>.<br data-start=""857"" data-end=""860"" />Record&aacute; que <strong data-start=""872"" data-end=""939"">las lentes de contacto no tienen cambio por error de graduaci&oacute;n</strong>.<br data-start=""940"" data-end=""943"" />Si ten&eacute;s alguna duda, escribinos por WhatsApp.</p>";"ACUVUE, LENTES DE CONTACTO";;;ACUVUE;SI;;;;;Visible
usual-ums202-ky4rg;"USUAL - UMS202";"Todos los productos > Lentes de Sol";;;;;;;0.00;;0.30;25.00;8.00;8.00;1;794;;SI;SI;"<p data-start=""167"" data-end=""381"">Anteojo de sol con dise&ntilde;o redondo y montura met&aacute;lica liviana, muy c&oacute;modo para uso diario. Incorpora <strong data-start=""267"" data-end=""287"">lentes amarillas</strong>, ideales para mejorar el contraste y la percepci&oacute;n de profundidad en condiciones de baja luz.</p>
<p data-start=""383"" data-end=""430"">? <strong data-start=""386"" data-end=""428"">&iquest;Para qu&eacute; sirven las lentes amarillas?</strong></p>
<ul data-start=""431"" data-end=""732"">
<li data-start=""431"" data-end=""507"">
<p data-start=""433"" data-end=""507"">Mejoran la <strong data-start=""444"" data-end=""476"">visibilidad en d&iacute;as nublados</strong>, al amanecer o al atardecer.</p>
</li>
<li data-start=""508"" data-end=""551"">
<p data-start=""510"" data-end=""551"">Aumentan el <strong data-start=""522"" data-end=""535"">contraste</strong> y la nitidez.</p>
</li>
<li data-start=""552"" data-end=""630"">
<p data-start=""554"" data-end=""630"">Reducen la fatiga visual en actividades como manejo, ciclismo o caminatas.</p>
</li>
<li data-start=""631"" data-end=""732"">
<p data-start=""633"" data-end=""732"">Son una excelente opci&oacute;n para quienes buscan un lente funcional y con un look moderno y distintivo.</p>
</li>
</ul>
<p>&nbsp;</p>
<p data-start=""734"" data-end=""799""><strong data-start=""734"" data-end=""759"">Accesorios incluidos:</strong> estuche</p>";"LENTES DE COLOR, URBANO, USUAL";"Anteojos de sol USUAL UMS202 con lentes amarillas y montura metálica";"Disfrutá los anteojos de sol USUAL UMS202 con diseño redondo, lentes amarillas para mejor contraste y montura metálica liviana. ¡Compralos ya!";USUAL;SI;;;;;Visible
cruiser-ariel-bo2bj;"CRUISER ARIEL";"Todos los productos > Armazones de Receta, Todos los productos > Kids";;;;;;;0.00;;0.30;25.00;8.00;8.00;1;619;;SI;NO;"<p data-start=""138"" data-end=""457"">Armaz&oacute;n liviano, resistente y <strong data-start=""168"" data-end=""186"">s&uacute;per flexible</strong>, ideal para uso intensivo. La marca Cruiser se destaca por su excelente terminaci&oacute;n y calidad premium, ofreciendo un dise&ntilde;o moderno, c&oacute;modo y duradero.<br data-start=""338"" data-end=""341"" />Una opci&oacute;n confiable y de muy buena performance para quienes buscan un armaz&oacute;n flexible sin renunciar a la est&eacute;tica.</p>
<p data-start=""171"" data-end=""441"">&nbsp;</p>
<p data-start=""459"" data-end=""511""><strong data-start=""459"" data-end=""484"">Accesorios incluidos:</strong> estuche / sujetador&nbsp;</p>";"ARMAZON RECETA, CRUISER, kids, NINO";"CRUISER ARIEL: Armazón infantil flexible y resistente";"Armazón infantil CRUISER ARIEL, súper flexible, liviano e irrompible para uso diario y juego. Incluye estuche. ¡Compra ya!";CRUISER;SI;;;;;Visible
kids-superflexibles-3h8yw;"KIDS SUPERFLEXIBLES";"Todos los productos > Armazones de Receta, Todos los productos > Kids";Color;Azul;;;;;45,000.00;25,000.00;0.30;25.00;8.00;8.00;1;417;;NO;NO;"<p data-start=""261"" data-end=""459"">Armaz&oacute;n para ni&ntilde;os fabricado en material <strong data-start=""302"" data-end=""320"">s&uacute;per flexible</strong>, pensado para soportar tirones, ca&iacute;das, juegos y uso diario sin romperse.<br data-start=""394"" data-end=""397"" />Es <strong data-start=""400"" data-end=""416"">ultraliviano</strong>, c&oacute;modo y muy seguro para chicos peque&ntilde;os.</p>
<p data-start=""461"" data-end=""657"">Su principal ventaja es la <strong data-start=""488"" data-end=""525"">excelente relaci&oacute;n precio&ndash;calidad</strong>: es una opci&oacute;n <strong data-start=""541"" data-end=""558"">muy econ&oacute;mica</strong> pero sorprendentemente resistente, ideal para quienes buscan un armaz&oacute;n durable sin gastar de m&aacute;s.</p>
<p data-start=""85"" data-end=""497"">&nbsp;</p>
<p data-start=""659"" data-end=""724""><strong data-start=""659"" data-end=""684"">Accesorios incluidos:</strong> sujetador / estuche</p>";"ARMAZON RECETA, kids, NINA, NINO";;;SUPERFLEXIBLE;SI;;;;;Oculto
kids-superflexibles-3h8yw;;;Color;Negro;;;;;45,000.00;25,000.00;0.30;25.00;8.00;8.00;0;824;;;;;;;;;;;;;;
kids-superflexibles-3h8yw;;;Color;Rosado;;;;;45,000.00;25,000.00;0.30;25.00;8.00;8.00;1;418;;;;;;;;;;;;;;
usual-uk037-rosa-ji456;"USUAL UK037 ROSA";"Todos los productos > Armazones de Receta, Todos los productos > Kids";;;;;;;0.00;;0.30;25.00;8.00;8.00;1;49;;SI;NO;"<p data-start=""85"" data-end=""497"">El modelo USUAL UK037 est&aacute; dise&ntilde;ado especialmente para ni&ntilde;as. Fabricado en material <strong data-start=""210"" data-end=""223"">SmartFlex</strong>, totalmente flexible e irrompible, combina seguridad, confort y una excelente <strong data-start=""302"" data-end=""329"">relaci&oacute;n precio-calidad</strong>. Su formato redondeado brinda un ajuste c&oacute;modo y estable, ideal para el uso diario y la vida escolar.<br data-start=""431"" data-end=""434"" />Una opci&oacute;n confiable, liviana y duradera para los m&aacute;s chicos.</p>
<p data-start=""499"" data-end=""524""><strong data-start=""499"" data-end=""522"">TAMA&Ntilde;O S (INFANTIL)</strong></p>
<p data-start=""80"" data-end=""453"">&nbsp;</p>
<p data-start=""526"" data-end=""561""><strong data-start=""526"" data-end=""551"">Accesorios incluidos:</strong> estuche</p>";"ARMAZON RECETA, kids, nina, USUAL";;;USUAL;SI;;;;;Visible
usual-uk012-azul-negro-0nb7z;"USUAL UK012 (AZUL-NEGRO)";"Todos los productos > Armazones de Receta, Todos los productos > Kids";;;;;;;0.00;;0.30;25.00;8.00;8.00;1;631;;SI;NO;"<p data-start=""171"" data-end=""441"">Armaz&oacute;n infantil <strong data-start=""188"" data-end=""228"">s&uacute;per flexible, liviano e irrompible</strong>, ideal para el uso diario y especialmente pensado para acompa&ntilde;ar el ritmo de juego de los chicos. Su dise&ntilde;o envolvente ofrece un calce estable y c&oacute;modo, ayudando a que los lentes se mantengan siempre en su lugar.</p>
<p data-start=""443"" data-end=""568"">Fabricado en <strong data-start=""456"" data-end=""478"">material Smartflex</strong>, resistente a golpes, torsiones y ca&iacute;das, con varillas de apoyo suave para mayor confort.</p>
<p data-start=""85"" data-end=""497"">&nbsp;</p>
<p data-start=""570"" data-end=""654""><strong data-start=""570"" data-end=""595"">Accesorios incluidos:</strong> estuche</p>";"ARMAZON RECETA, kids, NINO, USUAL";;;USUAL;SI;;;;;Visible
usual-uk035-rosado-wt65r;"USUAL UK035 ROSADO";"Todos los productos > Armazones de Receta, Todos los productos > Kids";;;;;;;0.00;;0.30;25.00;8.00;8.00;1;51;;SI;NO;"<p data-start=""85"" data-end=""497"">El modelo USUAL UK035 est&aacute; dise&ntilde;ado especialmente para ni&ntilde;as. Fabricado en material <strong data-start=""210"" data-end=""223"">SmartFlex</strong>, totalmente flexible e irrompible, combina seguridad, confort y una excelente <strong data-start=""302"" data-end=""329"">relaci&oacute;n precio-calidad</strong>. Su formato redondeado brinda un ajuste c&oacute;modo y estable, ideal para el uso diario y la vida escolar.<br data-start=""431"" data-end=""434"" />Una opci&oacute;n confiable, liviana y duradera para los m&aacute;s chicos.</p>
<p data-start=""499"" data-end=""524""><strong data-start=""499"" data-end=""522"">TAMA&Ntilde;O S (INFANTIL)</strong></p>
<p data-start=""80"" data-end=""453"">&nbsp;</p>
<p data-start=""526"" data-end=""561""><strong data-start=""526"" data-end=""551"">Accesorios incluidos:</strong> estuche</p>";"ARMAZON RECETA, kids, nina, USUAL";"Armazón USUAL UK035 Rosado: Aviador moderno y liviano";"Descubrí el armazón USUAL UK035 Rosado, estilo aviador con diseño liviano ";USUAL;SI;;;;;Visible
clip-on-kayak-k921-48181;"CLIP-ON KAYAK K921";"Todos los productos > Armazones de Receta, Todos los productos > Clip-On";;;;;;;0.00;;0.30;25.00;8.00;8.00;;1029;;SI;SI;"<p data-start=""87"" data-end=""533"">El modelo Kayak K921 combina dise&ntilde;o actual y funcionalidad en un formato <strong data-start=""197"" data-end=""231"">redondo moderno y ultraliviano</strong>. Su estructura de acetato transl&uacute;cido con detalles met&aacute;licos ofrece resistencia y comodidad, mientras que el clip-on solar imantado con lentes <strong data-start=""375"" data-end=""390"">polarizados</strong> brinda protecci&oacute;n total UV y excelente nitidez visual. Ideal para quienes buscan un anteojo vers&aacute;til, c&oacute;modo y con un estilo joven y urbano.</p>
<p data-start=""535"" data-end=""559""><strong data-start=""535"" data-end=""557"">TAMA&Ntilde;O M (MEDIANO)</strong></p>
<p data-start=""92"" data-end=""638"">&nbsp;</p>
<p data-start=""561"" data-end=""605""><strong data-start=""561"" data-end=""586"">Accesorios incluidos:</strong> estuche / 1 clip</p>
<p data-start=""666"" data-end=""710"">&nbsp;</p>";"ARMAZON RECETA, CLIPON, DAMA, ELEGANTE, KAYAK, METAL";"Anteojos Clip-On Kayak K921: Lentes Polarizados UV M";"Descubrí el Clip-On Kayak K921 con diseño ultraliviano, lentes polarizados UV y estuche. Elegí estilo y protección. ¡Compralo ahora!";KAYAK;SI;;;;;Visible
clip-on-bello-cuore-bc274-xsv67;"CLIP-ON BELLO CUORE BC274";"Todos los productos > Armazones de Receta, Todos los productos > Clip-On";Color;"NUDE C2";;;;;0.00;;0.30;25.00;8.00;8.00;1;1019;;SI;SI;"<p data-start=""92"" data-end=""638"">El modelo Bello Cuore BC274 se destaca por su <strong data-start=""182"" data-end=""261"">dise&ntilde;o delicado, estructura ultraliviana y excelente calidad de terminaci&oacute;n</strong>. Fabricado en metal resistente, combina elegancia con confort para un uso diario c&oacute;modo y duradero. Su clip-on solar imantado <strong data-start=""399"" data-end=""413"">polarizado</strong> ofrece una protecci&oacute;n total frente a los rayos UV, reduciendo reflejos y mejorando la nitidez visual.<br data-start=""515"" data-end=""518"" />Una opci&oacute;n moderna, funcional y sofisticada, ideal para quienes buscan un armaz&oacute;n de alta calidad con estilo refinado.</p>
<p data-start=""640"" data-end=""664""><strong data-start=""640"" data-end=""662"">TAMA&Ntilde;O M (MEDIANO)</strong></p>
<p data-start=""143"" data-end=""620"">&nbsp;</p>
<p data-start=""666"" data-end=""710""><strong data-start=""666"" data-end=""691"">Accesorios incluidos:</strong> estuche / 1 clip</p>";"ARMAZON RECETA, BELLO CUORE, CLIPON, DAMA, ELEGANTE, METAL";"Clip-On Bello Cuore BC274: Elegancia y Protección UV Polarizada";"Descubre el clip-on Bello Cuore BC274, ultraliviano y polarizado para máxima protección y estilo. ¡Compra ahora y mejora tu visión diaria!";"BELLO CUORE";SI;;;;;Visible
clip-on-bello-cuore-bc274-xsv67;;;Color;"ANIMAL PRINT C4";;;;;0.00;;0.30;25.00;8.00;8.00;1;1024;;;;;;;;;;;;;;
clip-on-bello-cuore-bc274-xsv67;;;Color;"NEGRO C5";;;;;0.00;;0.30;25.00;8.00;8.00;1;1023;;;;;;;;;;;;;;
promo-lente-completo-con-filtro-azul-y-antireflejo-stock-vr2a2;"Promo Lente Completo con Filtro Azul y Antireflejo (Stock)";"Todos los productos > Promociones";Modelo;1;;;;;0.00;;0.30;25.00;8.00;8.00;;;;SI;NO;"<h2 style=""margin: 8px 0 4px; font-weight: 800; font-size: 22px;"">? Promo Lente Completo&nbsp;</h2>
<p style=""margin: 0 0 8px;"">Incluye: <strong>armaz&oacute;n + lentes org&aacute;nicas con filtro azul + antirreflejo</strong>.&nbsp;</p>
<h3 style=""margin: 10px 0 4px; font-weight: 800; font-size: 16px;"">Graduaciones de stock</h3>
<ul style=""margin: 0 0 10px 18px;"">
<li>Esfera (ESF): de <strong>+4.00</strong> a <strong>-8.00</strong></li>
<li>Cilindro (CIL): hasta <strong>-2.00</strong></li>
</ul>
<p style=""margin: 0 0 10px;""><strong>? Consult&aacute; por WhatsApp antes de comprar</strong> para confirmar que tu receta entra en la promo.</p>
<h3 style=""margin: 10px 0 4px; font-weight: 800; font-size: 16px;"">C&oacute;mo comprar</h3>
<ul style=""margin: 0 0 10px 18px;"">
<li>Hac&eacute; la <strong>precompra online</strong>.</li>
<li>Pod&eacute;s <strong>cambiar el modelo</strong> en el local al momento de la toma de medidas. (? En nuestra tienda f&iacute;sica vas a encontrar <strong data-start=""878"" data-end=""912"">muchos m&aacute;s modelos disponibles para elegir</strong>)</li>
<li>O solicit&aacute; <strong>env&iacute;o a domicilio</strong> (costo de env&iacute;o a cargo del comprador).</li>
</ul>
<p style=""margin: 10px 0 0; font-size: 14px; color: #566b7a;"">? Atenci&oacute;n profesional | ? Garant&iacute;a OB</p>
<p style=""margin: 10px 0 0; font-size: 14px; color: #566b7a;"">*El tiempo de entrega puede variar seg&uacute;n la graduaci&oacute;n indicada en la receta</p>";"ARMAZON RECETA, PROMO";;;;SI;;;;;Visible
promo-lente-completo-con-filtro-azul-y-antireflejo-stock-vr2a2;;;Modelo;2;;;;;0.00;;0.30;25.00;8.00;8.00;;;;;;;;;;;;;;;;
promo-lente-completo-con-filtro-azul-y-antireflejo-stock-vr2a2;;;Modelo;3;;;;;0.00;;0.30;25.00;8.00;8.00;;;;;;;;;;;;;;;;
promo-lente-completo-con-filtro-azul-y-antireflejo-stock-vr2a2;;;Modelo;4;;;;;0.00;;0.30;25.00;8.00;8.00;;;;;;;;;;;;;;;;
promo-lente-completo-con-filtro-azul-y-antireflejo-stock-vr2a2;;;Modelo;5;;;;;0.00;;0.30;25.00;8.00;8.00;;;;;;;;;;;;;;;;
promo-lente-completo-con-filtro-azul-y-antireflejo-stock-vr2a2;;;Modelo;6;;;;;0.00;;0.30;25.00;8.00;8.00;;;;;;;;;;;;;;;;
promo-lente-completo-con-filtro-azul-y-antireflejo-stock-vr2a2;;;Modelo;7;;;;;0.00;;0.30;25.00;8.00;8.00;;;;;;;;;;;;;;;;
promo-lente-completo-con-filtro-azul-y-antireflejo-stock-vr2a2;;;Modelo;8;;;;;0.00;;0.30;25.00;8.00;8.00;;;;;;;;;;;;;;;;
promo-lente-completo-con-filtro-azul-y-antireflejo-stock-vr2a2;;;Modelo;9;;;;;0.00;;0.30;25.00;8.00;8.00;;;;;;;;;;;;;;;;
